iter	Passed	Remaining
305	963	2185
306	966	2182
307	973	2186
308	975	2182
309	978	2178
310	981	2174
311	987	2176
312	989	2172
313	992	2169
314	996	2165
315	1001	2168
316	1005	2165
317	1008	2162
318	1011	2158
319	1016	2160
320	1019	2157
321	1023	2154
322	1025	2149
323	1069	2230
324	1075	2234
325	1078	2230
326	1081	2226
327	1086	2225
328	1104	2252
329	1107	2247
330	1109	2242
331	1114	2243
332	1117	2238
333	1120	2234
334	1122	2228
335	1125	2223
336	1130	2224
337	1133	2219
338	1135	2214
339	1138	2210
340	1143	2209
341	1147	2207
342	1150	2202
343	1152	2198
344	1156	2196
345	1160	2192
346	1162	2188
347	1164	2182
348	1167	2177
349	1173	2179
350	1176	2175
351	1179	2171
352	1182	2167
353	1188	2168
354	1190	2163
355	1193	2159
356	1198	2158
357	1204	2159
358	1206	2154
359	1209	2149
360	1212	2145
361	1218	2147
362	1221	2143
363	1224	2138
364	1227	2134
365	1230	2131
366	1234	2128
367	1236	2123
368	1238	2117
369	1240	2112
370	1242	2107
371	1247	2105
372	1249	2100
373	1252	2095
374	1254	2090
375	1256	2085
376	1261	2085
377	1264	2079
378	1266	2074
379	1268	2069
380	1270	2064
381	1277	2066
382	1279	2061
383	1281	2055
384	1283	2050
385	1285	2045
386	1291	2045
387	1293	2040
388	1296	2035
389	1298	2030
390	1300	2025
391	1305	2024
392	1308	2020
393	1310	2015
394	1312	2010
395	1314	2005
396	1318	2002
397	1321	1998
398	1323	1993
399	1325	1988
400	1328	1984
401	1330	1978
402	1336	1979
403	1339	1976
404	1341	1971
405	1344	1967
406	1351	1968
407	1353	1964
408	1356	1959
409	1358	1954
410	1360	1949
411	1364	1947
412	1366	1942
413	1369	1938
414	1372	1934
415	1378	1935
416	1381	1932
417	1384	1928
418	1387	1923
419	1392	1922
420	1394	1917
421	1397	1913
422	1400	1909
423	1403	1906
424	1408	1905
425	1411	1902
426	1414	1898
427	1417	1894
428	1422	1893
429	1425	1889
430	1428	1886
431	1431	1882
432	1437	1882
433	1440	1879
434	1443	1875
435	1447	1871
436	1453	1872
437	1456	1868
438	1459	1865
439	1462	1861
440	1469	1862
441	1472	1858
442	1475	1855
443	1479	1852
444	1483	1850
445	1487	1847
446	1490	1844
447	1497	1845
448	1500	1841
449	1503	1838
450	1507	1835
451	1511	1832
452	1513	1828
453	1518	1825
454	1525	1827
455	1528	1823
456	1532	1821
457	1539	1822
458	1543	1819
459	1548	1818
460	1557	1821
461	1560	1817
462	1563	1813
463	1573	1817
464	1580	1817
465	1591	1823
466	1595	1821
467	1605	1824
468	1608	1821
469	1611	1817
470	1622	1821
471	1625	1818
472	1633	1820
473	1637	1816
474	1640	1812
475	1647	1813
476	1650	1809
477	1653	1805
478	1656	1801
479	1663	1802
480	1666	1798
481	1669	1793
482	1672	1789
483	1679	1790
484	1683	1787
485	1686	1783
486	1692	1782
487	1695	1778
488	1698	1775
489	1701	1770
490	1708	1770
491	1711	1767
492	1714	1763
493	1717	1759
494	1724	1759
495	1727	1754
496	1730	1750
497	1734	1748
498	1737	1744
499	1740	1740
500	1743	1737
501	1750	1736
502	1753	1732
503	1756	1728
504	1760	1725
505	1766	1724
506	1769	1720
507	1772	1716
508	1775	1712
509	1780	1711
510	1784	1707
511	1786	1703
512	1789	1699
513	1795	1697
514	1799	1694
515	1802	1690
516	1804	1686
517	1810	1684
518	1813	1680
519	1817	1677
520	1819	1673
521	1825	1672
522	1828	1668
523	1832	1664
524	1836	1661
525	1841	1659
526	1844	1655
527	1847	1651
528	1851	1648
529	1855	1645
530	1857	1641
531	1860	1636
532	1863	1632
533	1870	1632
534	1873	1628
535	1876	1624
536	1883	1624
537	1886	1620
538	1889	1616
539	1893	1612
540	1898	1610
541	1901	1606
542	1904	1603
543	1907	1599
544	1914	1598
545	1917	1594
546	1920	1590
547	1923	1586
548	1929	1585
549	1932	1581
550	1936	1577
551	1940	1575
552	1944	1572
553	1948	1568
554	1951	1564
555	1957	1563
556	1960	1559
557	1963	1555
558	1966	1551
559	1971	1549
560	1974	1545
561	1977	1541
562	1980	1537
563	1984	1534
564	1988	1531
565	1991	1526
566	1993	1522
567	1995	1518
568	2003	1517
569	2005	1513
570	2008	1509
571	2011	1505
572	2017	1503
573	2019	1499
574	2022	1494
575	2025	1490
576	2031	1489
577	2033	1484
578	2036	1480
579	2039	1476
580	2042	1472
581	2046	1469
582	2049	1465
583	2052	1462
584	2065	1465
585	2068	1461
586	2071	1457
587	2077	1455
588	2084	1454
589	2088	1451
590	2092	1448
591	2095	1443
592	2097	1439
593	2100	1435
594	2105	1433
595	2110	1430
596	2114	1427
597	2119	1425
598	2124	1421
599	2127	1418
600	2129	1413
601	2134	1411
602	2137	1407
603	2140	1403
604	2143	1399
605	2147	1396
606	2150	1392
607	2153	1388
608	2155	1384
609	2158	1380
610	2164	1378
611	2167	1374
612	2169	1369
613	2172	1365
614	2178	1364
615	2181	1360
616	2184	1355
617	2186	1351
618	2190	1348
619	2193	1344
620	2196	1340
621	2199	1336
622	2205	1334
623	2208	1330
624	2211	1326
625	2214	1322
626	2217	1319
627	2220	1315
628	2223	1311
629	2226	1307
630	2229	1303
631	2232	1300
632	2235	1295
633	2237	1291
634	2240	1287
635	2245	1284
636	2247	1280
637	2250	1277
638	2253	1273
639	2260	1271
640	2263	1267
641	2265	1263
642	2268	1259
643	2274	1257
644	2276	1253
645	2279	1249
646	2282	1245
647	2287	1242
648	2290	1238
649	2293	1234
650	2295	1230
651	2299	1227
652	2303	1224
653	2306	1220
654	2309	1216
655	2311	1212
656	2317	1209
657	2320	1206
658	2323	1202
659	2325	1198
660	2331	1195
661	2334	1191
662	2337	1188
663	2339	1184
664	2342	1180
665	2348	1177
666	2351	1173
667	2354	1170
668	2357	1166
669	2363	1164
670	2366	1160
671	2368	1156
672	2371	1152
673	2376	1149
674	2379	1145
675	2382	1141
676	2384	1137
677	2388	1134
678	2392	1131
679	2395	1127
680	2397	1123
681	2400	1119
682	2405	1116
683	2408	1112
684	2411	1108
685	2413	1104
686	2417	1101
687	2421	1097
688	2423	1094
689	2428	1090
690	2431	1087
691	2434	1083
692	2437	1079
693	2440	1075
694	2442	1072
695	2449	1069
696	2451	1065
697	2453	1061
698	2456	1057
699	2458	1053
700	2462	1050
701	2464	1046
702	2466	1042
703	2469	1038
704	2475	1035
705	2477	1031
706	2479	1027
707	2509	1035
708	2516	1032
709	2519	1029
710	2522	1025
711	2541	1028
712	2543	1023
713	2546	1019
714	2548	1015
715	2551	1011
716	2555	1008
717	2558	1004
718	2560	1000
719	2563	996
720	2565	992
721	2568	988
722	2571	985
723	2573	981
724	2575	976
725	2577	972
726	2580	968
727	2583	965
728	2585	961
729	2588	957
730	2590	953
731	2594	949
732	2598	946
733	2600	942
734	2603	938
735	2605	934
736	2609	931
737	2612	927
738	2614	923
739	2617	919
740	2619	915
741	2621	911
742	2625	908
743	2627	904
744	2629	900
745	2632	896
746	2634	892
747	2639	889
748	2641	885
749	2644	881
750	2647	877
751	2649	873
752	2662	873
753	2670	871
754	2673	867
755	2676	863
756	2681	860
757	2685	857
758	2688	853
759	2691	849
760	2697	847
761	2700	843
762	2703	839
763	2706	835
764	2708	831
765	2713	828
766	2715	824
767	2717	820
768	2719	817
769	2721	813
770	2726	809
771	2729	806
772	2731	802
773	2733	798
774	2735	794
775	2738	790
776	2743	787
777	2745	783
778	2749	779
779	2752	776
780	2757	773
781	2760	769
782	2762	765
783	2764	761
784	2766	757
785	2769	754
786	2772	750
787	2775	746
788	2777	742
789	2779	738
790	2782	735
791	2786	731
792	2788	727
793	2790	723
794	2792	720
795	2795	716
796	2799	713
797	2801	709
798	2803	705
799	2805	701
800	2808	697
801	2812	694
802	2815	690
803	2818	687
804	2820	683
805	2823	679
806	2829	676
807	2831	672
808	2834	669
809	2836	665
810	2838	661
811	2845	658
812	2847	655
813	2850	651
814	2853	647
815	2859	644
816	2861	640
817	2863	637
818	2865	633
819	2868	629
820	2873	626
821	2875	622
822	2878	619
823	2881	615
824	2883	611
825	2888	608
826	2891	604
827	2894	601
828	2901	598
829	2904	594
830	2907	591
831	2910	587
832	2916	584
833	2919	581
834	2922	577
835	2925	573
836	2931	570
837	2935	567
838	2939	564
839	2950	562
840	2955	558
841	2963	556
842	2965	552
843	2967	548
844	2969	544
845	2972	541
846	2975	537
847	2977	533
848	2980	530
849	2982	526
850	2987	523
851	2990	519
852	2992	515
853	2994	511
854	2997	508
855	3000	504
856	3003	501
857	3005	497
858	3007	493
859	3010	490
860	3013	486
861	3017	483
862	3019	479
863	3022	475
864	3024	472
865	3026	468
866	3030	464
867	3063	465
868	3067	462
869	3072	459
870	3078	455
871	3088	453
872	3091	449
873	3093	446
874	3096	442
875	3102	439
876	3105	435
877	3107	431
878	3109	428
879	3111	424
880	3118	421
881	3121	417
882	3123	413
883	3125	410
884	3130	406
885	3133	403
886	3135	399
887	3138	395
888	3140	392
889	3144	388
890	3147	384
891	3149	381
892	3151	377
893	3153	373
894	3157	370
895	3160	366
896	3163	363
897	3165	359
898	3167	355
899	3170	352
900	3175	348
901	3177	345
902	3180	341
903	3182	337
904	3187	334
905	3190	330
906	3192	327
907	3194	323
908	3196	320
909	3203	316
910	3206	313
911	3208	309
912	3211	305
913	3215	302
914	3218	299
915	3221	295
916	3223	291
917	3226	288
918	3231	284
919	3233	281
920	3235	277
921	3238	273
922	3241	270
923	3246	267
924	3248	263
925	3251	259
926	3253	256
927	3255	252
928	3261	249
929	3263	245
930	3266	242
931	3268	238
932	3270	234
933	3276	231
934	3278	227
935	3280	224
936	3283	220
937	3285	217
938	3291	213
939	3294	210
940	3296	206
941	3298	203
942	3301	199
943	3303	195
944	3306	192
945	3308	188
946	3310	185
947	3316	181
948	3318	178
949	3320	174
950	3322	171
951	3325	167
952	3331	164
953	3333	160
954	3335	157
955	3338	153
956	3340	150
957	3346	146
958	3348	143
959	3351	139
960	3353	136
961	3356	132
962	3361	129
963	3363	125
964	3365	122
965	3369	118
966	3373	115
967	3376	111
968	3379	108
969	3381	104
970	3384	101
971	3390	97
972	3393	94
973	3395	90
974	3397	87
975	3402	83
976	3404	80
977	3406	76
978	3409	73
979	3411	69
980	3416	66
981	3419	62
982	3421	59
983	3423	55
984	3425	52
985	3428	48
986	3431	45
987	3434	41
988	3436	38
989	3438	34
990	3444	31
991	3446	27
992	3449	24
993	3451	20
994	3453	17
995	3458	13
996	3462	10
997	3464	6
998	3466	3
999	3469	0
